日期              时间       飞机地址           纬度                  经度                      高度 地速 航向    航班号 爬升率 识别代码
2017-10-10 13:4:27 780342 39.12373065948486 117.34927296638489 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:27 780342 39.123698472976685 117.34924077987671 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:28 780342 39.123457074165344 117.34913349151611 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:29 780342 39.1233766078949 117.34927833080292 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:29 780342 39.1233766078949 117.34927833080292 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:29 780342 39.12328541278839 117.34943389892578 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:30 780342 39.12339806556702 117.34943389892578 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:30 780342 39.123467803001404 117.34943389892578 0.00 25.93 153.81 AMU237 0.0 null
2017-10-10 13:4:31 780342 39.12334978580475 117.34938025474548 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:31 780342 39.12323713302612 117.34933733940125 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:32 780342 39.123215675354004 117.34949290752411 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:33 780342 39.122904539108276 117.34960556030273 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:34 780342 39.122904539108276 117.34960556030273 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:35 780342 39.12287771701813 117.34969675540924 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:35 780342 39.12289381027222 117.34968066215515 0.00 26.81 153.81 AMU237 0.0 null
2017-10-10 13:4:36 780342 39.12283480167389 117.34963774681091 0.00 27.91 153.81 AMU237 0.0 null
2017-10-10 13:4:39 780342 39.122191071510315 117.34982013702393 0.00 27.91 153.81 AMU237 0.0 null
2017-10-10 13:4:40 780342 39.122416377067566 117.35018491744995 0.00 27.91 153.81 AMU237 0.0 null
2017-10-10 13:4:41 780342 39.12223398685455 117.35014200210571 0.00 27.91 153.81 AMU237 0.0 null
2017-10-10 13:4:43 780342 39.121944308280945 117.35017955303192 0.00 27.91 153.81 AMU237 0.0 null
2017-10-10 13:4:46 780342 39.12164926528931 117.35050678253174 0.00 26.81 153.81 AMU237 0.0 null
